ZIP_CODE,FirstDose,SecondDose,SingleDose,AtleastOneDose,FullyVaccinated,vaccination_date
20011,10695,6053,596,11291,6649,2022-04-27T23:08:58Z
20002,6910,4454,603,7513,5057,2022-04-27T23:08:58Z
20009,6128,4125,731,6859,4856,2022-04-27T23:08:58Z
20019,7957,4427,290,8247,4717,2022-04-27T23:08:58Z
20016,6451,3793,452,6903,4245,2022-04-27T23:08:58Z
20001,5148,3380,505,5653,3885,2022-04-27T23:08:58Z
20008,5165,3385,448,5613,3833,2022-04-27T23:08:58Z
20020,5541,3122,247,5788,3369,2022-04-27T23:08:58Z
20015,4995,3095,236,5231,3331,2022-04-27T23:08:58Z
20010,3928,2624,326,4254,2950,2022-04-27T23:08:58Z
20007,3656,2325,326,3982,2651,2022-04-27T23:08:58Z
17331,2916,2376,265,3181,2641,2022-04-27T23:08:58Z
20003,3391,2184,336,3727,2520,2022-04-27T23:08:58Z
20032,4248,2228,210,4458,2438,2022-04-27T23:08:58Z
20012,4152,2129,166,4318,2295,2022-04-27T23:08:58Z
17268,2170,1727,334,2504,2061,2022-04-27T23:08:58Z
17225,2036,1638,269,2305,1907,2022-04-27T23:08:58Z
20017,3408,1714,162,3570,1876,2022-04-27T23:08:58Z
20018,3116,1596,132,3248,1728,2022-04-27T23:08:58Z
19975,2267,1503,109,2376,1612,2022-04-27T23:08:58Z
25419,1863,1327,201,2064,1528,2022-04-27T23:08:58Z
19702,1937,1410,94,2031,1504,2022-04-27T23:08:58Z
19940,1683,1294,156,1839,1450,2022-04-27T23:08:58Z
17314,1666,1180,259,1925,1439,2022-04-27T23:08:58Z
22201,1686,1159,154,1840,1313,2022-04-27T23:08:58Z
